"Index","TXG.Open","TXG.High","TXG.Low","TXG.Close","TXG.Volume","TXG.Adjusted"
"2020-04-17",69.480003,71.910004,69.279999,71.160004,676000,71.160004
"2020-04-20",68.419998,74.980003,67.75,74.199997,692400,74.199997
"2020-04-21",74.480003,75.419998,73.544998,74.580002,738500,74.580002
"2020-04-22",76.57,76.57,75.010002,76,647800,76
"2020-04-23",75.400002,76.419998,72.82,73.940002,631900,73.940002
"2020-04-24",73.080002,74.519997,72.775002,74,701700,74
"2020-04-27",75,76.769997,74.089996,76.190002,1117800,76.190002
"2020-04-28",76.720001,77.440002,75.305,76.260002,522200,76.260002
"2020-04-29",77.400002,82.360001,76.25,81.75,1096200,81.75
"2020-04-30",81.059998,82.400002,78.660004,79.870003,577000,79.870003
"2020-05-01",78.510002,79.800003,76.010002,78.410004,614000,78.410004
"2020-05-04",78.330002,78.940002,76.82,77.910004,360200,77.910004
"2020-05-05",79.129997,80.139,77.589996,78.169998,664100,78.169998
"2020-05-06",78.290001,79.5,77.029999,78.699997,352100,78.699997
"2020-05-07",79.510002,81.470001,78.404999,80.809998,599300,80.809998
"2020-05-08",80.980003,84.400002,80.5,82.959999,532900,82.959999
"2020-05-11",83,85.120003,82.080002,82.099998,786100,82.099998
"2020-05-12",79.550003,83,74,82.589996,1392400,82.589996
"2020-05-13",81.010002,83.5,78.370003,80.080002,948600,80.080002
"2020-05-14",74.529999,79.370003,72.360001,78.970001,1387800,78.970001
"2020-05-15",78.080002,80,77.599998,77.949997,520300,77.949997
"2020-05-18",78,80.970001,76.919998,77.199997,879500,77.199997
"2020-05-19",77.300003,79.713997,77.300003,78.199997,1019600,78.199997
"2020-05-20",79,80.5,77.709999,78,1054300,78
"2020-05-21",78.160004,78.470001,75.330002,76,512800,76
"2020-05-22",75.589996,75.589996,72.040001,74.849998,1056000,74.849998
"2020-05-26",75.889999,78.790001,74.849998,76,690600,76
"2020-05-27",75.699997,78,74.010002,77.660004,535600,77.660004
"2020-05-28",78.279999,79.389999,76.260002,76.290001,357700,76.290001
"2020-05-29",76.559998,78.190002,76.010002,77.970001,877000,77.970001
"2020-06-01",77.980003,82.360001,76.595001,81.949997,1226700,81.949997
"2020-06-02",81.910004,82.237999,79.949997,80.5,776600,80.5
"2020-06-03",81.169998,86.900002,80.599998,85.910004,1656000,85.910004
"2020-06-04",84.410004,84.75,78.519997,79.699997,1288300,79.699997
"2020-06-05",80.260002,82.529999,78.68,82.379997,722800,82.379997
